t,event_type,task_id,robot_id,payload_json
32.000,ANNOUNCE,survey-02-0013,r02,"{""deadline"":33.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,0.2],""sender"":""r02"",""t"":32.0,""t_ref"":13.5,""task_id"":""survey-02-0013"",""type"":""survey""}"
32.000,ANNOUNCE,survey-04-0012,r04,"{""deadline"":33.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,0.2],""sender"":""r04"",""t"":32.0,""t_ref"":11.5,""task_id"":""survey-04-0012"",""type"":""survey""}"
33.000,ANNOUNCE,survey-02-0013,r02,"{""deadline"":34.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,0.2],""sender"":""r02"",""t"":33.0,""t_ref"":13.5,""task_id"":""survey-02-0013"",""type"":""survey""}"
33.000,FAILED,survey-04-0012,r04,{}
33.000,DETECTED,roi-025,r00,"{""event_created_at"":32.709960853832854,""latency"":0.2900391461671461}"
33.000,ANNOUNCE,roi-025,r00,"{""deadline"":34.0,""duration"":15.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.6,""pos"":[0.686027165175729,0.5236327714439464],""sender"":""r00"",""t"":33.0,""t_ref"":33.0,""task_id"":""roi-025"",""type"":""guard""}"
33.100,BID,roi-025,r00,"{""cost"":0.37370101940790584,""sender"":""r00"",""t"":33.1,""task_id"":""roi-025""}"
33.100,BID,roi-025,r01,"{""cost"":0.45743099043212065,""sender"":""r01"",""t"":33.1,""task_id"":""roi-025""}"
33.100,BID,roi-025,r02,"{""cost"":0.5224886413877528,""sender"":""r02"",""t"":33.1,""task_id"":""roi-025""}"
33.100,BID,roi-025,r03,"{""cost"":0.43897251318544706,""sender"":""r03"",""t"":33.1,""task_id"":""roi-025""}"
33.100,BID,roi-025,r04,"{""cost"":0.48276278187933663,""sender"":""r04"",""t"":33.1,""task_id"":""roi-025""}"
33.100,BID,roi-025,r06,"{""cost"":0.35975084503643395,""sender"":""r06"",""t"":33.1,""task_id"":""roi-025""}"
34.000,ANNOUNCE,survey-01-0014,r01,"{""deadline"":35.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,0.2],""sender"":""r01"",""t"":34.0,""t_ref"":14.5,""task_id"":""survey-01-0014"",""type"":""survey""}"
34.000,ANNOUNCE,survey-03-0015,r03,"{""deadline"":35.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,0.2],""sender"":""r03"",""t"":34.0,""t_ref"":15.0,""task_id"":""survey-03-0015"",""type"":""survey""}"
34.000,AWARD,roi-025,r00,"{""sender"":""r00"",""t"":34.0,""task_id"":""roi-025"",""winners"":[""r06""]}"
34.000,ANNOUNCE,survey-02-0013,r02,"{""deadline"":35.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.0,0.2],""sender"":""r02"",""t"":34.0,""t_ref"":13.5,""task_id"":""survey-02-0013"",""type"":""survey""}"
34.100,DONE,roi-006,r00,"{""sender"":""r00"",""t"":34.1,""task_id"":""roi-006""}"
35.000,ANNOUNCE,survey-01-0014,r01,"{""deadline"":36.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,0.2],""sender"":""r01"",""t"":35.0,""t_ref"":14.5,""task_id"":""survey-01-0014"",""type"":""survey""}"
35.000,FAILED,survey-02-0013,r02,{}
35.000,ANNOUNCE,survey-03-0015,r03,"{""deadline"":36.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,0.2],""sender"":""r03"",""t"":35.0,""t_ref"":15.0,""task_id"":""survey-03-0015"",""type"":""survey""}"
36.000,ANNOUNCE,survey-01-0014,r01,"{""deadline"":37.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.6000000000000001,0.2],""sender"":""r01"",""t"":36.0,""t_ref"":14.5,""task_id"":""survey-01-0014"",""type"":""survey""}"
36.000,ANNOUNCE,survey-03-0015,r03,"{""deadline"":37.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,0.2],""sender"":""r03"",""t"":36.0,""t_ref"":15.0,""task_id"":""survey-03-0015"",""type"":""survey""}"
37.000,FAILED,survey-01-0014,r01,{}
37.000,FAILED,survey-03-0015,r03,{}
37.200,DONE,roi-026,r02,"{""sender"":""r02"",""t"":37.2,""task_id"":""roi-026""}"
38.000,ANNOUNCE,survey-09-0016,r02,"{""deadline"":39.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,0.6000000000000001],""sender"":""r02"",""t"":38.0,""t_ref"":19.0,""task_id"":""survey-09-0016"",""type"":""survey""}"
39.000,ANNOUNCE,survey-09-0016,r02,"{""deadline"":40.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,0.6000000000000001],""sender"":""r02"",""t"":39.0,""t_ref"":19.0,""task_id"":""survey-09-0016"",""type"":""survey""}"
40.000,ANNOUNCE,survey-09-0016,r02,"{""deadline"":41.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,0.6000000000000001],""sender"":""r02"",""t"":40.0,""t_ref"":19.0,""task_id"":""survey-09-0016"",""type"":""survey""}"
40.500,DETECTED,roi-019,r00,"{""event_created_at"":40.00019249786637,""latency"":0.4998075021336277}"
40.500,ANNOUNCE,roi-019,r00,"{""deadline"":41.5,""duration"":15.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.6,""pos"":[0.4988970702147182,0.27576207918485623],""sender"":""r00"",""t"":40.5,""t_ref"":40.5,""task_id"":""roi-019"",""type"":""guard""}"
40.600,BID,roi-019,r00,"{""cost"":0.2584914374979707,""sender"":""r00"",""t"":40.6,""task_id"":""roi-019""}"
